NameWithOwner,Data Criação,Total de estrelas,Linguagem,Nº de Watchers,Nº de Forks,Nº de Releases
CyC2018/CS-Notes,2018-02-13T14:56:24Z,112027,Java,34893,5226,0
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,89003,Java,29921,4453,0
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,60956,Java,18715,3999,0
MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,59635,Java,11011,2478,0
elastic/elasticsearch,2010-02-08T13:20:56Z,51491,Java,17212,2808,33
spring-projects/spring-boot,2012-10-19T15:02:57Z,50915,Java,29717,3463,70
kdn251/interviews,2017-02-14T18:19:25Z,48061,Java,9650,2579,0
doocs/advanced-java,2018-10-06T11:38:30Z,47662,Java,12944,2412,0
google/guava,2014-05-29T16:23:17Z,38940,Java,8603,2518,29
square/okhttp,2012-07-23T13:42:55Z,38367,Java,8078,1684,0
TheAlgorithms/Java,2016-07-16T10:21:02Z,30344,Java,10384,1898,0
Blankj/AndroidUtilCode,2016-07-30T18:18:32Z,27982,Java,9025,1184,115
JakeWharton/butterknife,2013-03-05T08:18:59Z,25464,Java,4646,1092,0
crossoverJie/JCSprout,2017-12-17T09:06:50Z,25285,Java,6806,1688,0
netty/netty,2010-11-09T09:22:21Z,24862,Java,11382,1847,0
ityouknow/spring-boot-examples,2016-11-05T05:32:33Z,23740,Java,10539,1317,0
skylot/jadx,2013-03-18T17:08:21Z,23519,Java,2744,740,13
alibaba/arthas,2018-08-29T17:15:57Z,23181,Java,5005,1120,27
eugenp/tutorials,2013-04-29T18:26:36Z,23070,Java,36552,1515,0
greenrobot/EventBus,2012-07-16T16:55:40Z,22874,Java,4423,1117,5
alibaba/fastjson,2011-11-03T06:58:52Z,22448,Java,5867,1397,79
NationalSecurityAgency/ghidra,2019-03-01T03:27:48Z,22390,Java,2973,834,0
alibaba/druid,2011-11-03T05:12:51Z,22319,Java,7241,1823,36
scwang90/SmartRefreshLayout,2017-06-02T09:52:50Z,21537,Java,4326,520,8
CymChad/BaseRecyclerViewAdapterHelper,2016-04-10T07:40:11Z,20816,Java,4389,565,191
ReactiveX/RxAndroid,2014-08-19T03:46:38Z,19152,Java,2912,1043,18
geekxh/hello-algorithm,2020-05-29T05:47:09Z,19140,Java,3570,429,0
google/gson,2015-03-19T18:21:20Z,18597,Java,3506,746,0
square/picasso,2013-05-14T15:07:47Z,17668,Java,3907,902,7
libgdx/libgdx,2012-08-10T19:34:38Z,17467,Java,5925,1266,4
seata/seata,2018-12-28T08:37:22Z,17409,Java,4896,870,28
